GT  : hospital_ground_truth.pgm
SLAM: hospital_gmapping.pgm

iou: 0.225027352297593
ssim: 0.9487755339797259
precision: 0.3180746182099239
recall: 0.4347849064580681
f1: 0.36738339201428816
completeness: 0.9797590106754043
accuracy: 0.9959017977962498
f1_dist: 0.9877644537572731
chamfer: 1.6504645719565545
hausdorff: 41.593268686170845
TP: 8227
FP: 17638
FN: 10695
