GT  : turtlebothouse_ground_truth.pgm
SLAM: turtlebothouse_cartographer_0.6.pgm

iou: 0.1945227547321788
ssim: 0.9656078669161617
precision: 0.3399014778323927
recall: 0.3126213592231998
f1: 0.325691166055046
completeness: 0.9964401294498382
accuracy: 0.9975369458128078
f1_dist: 0.996988235471352
chamfer: 0.9564897410356754
hausdorff: 31.76476034853718
TP: 966
FP: 1876
FN: 2124
