GT  : hospital_ground_truth.pgm
SLAM: hospital_hectorslam.pgm

iou: 0.10144153764014949
ssim: 0.9268188953728389
precision: 0.157950423216439
recall: 0.22090688087938795
f1: 0.18419776975131705
completeness: 0.7899799175562837
accuracy: 0.7184854897218863
f1_dist: 0.7525384471146124
chamfer: 3.8017311396405917
hausdorff: 21.0
TP: 4180
FP: 22284
FN: 14742
